time	S	I	R	V	E
67.00	869.97	36.59	2.82	80.82	9.81
68.00	867.76	37.44	2.91	81.87	10.02
69.00	865.54	38.31	2.99	82.92	10.23
70.00	863.30	39.20	3.08	83.97	10.45
71.00	861.04	40.11	3.18	85.01	10.67
72.00	858.76	41.04	3.27	86.05	10.89
73.00	856.46	41.98	3.37	87.08	11.12
74.00	854.14	42.95	3.46	88.10	11.35
75.00	851.79	43.93	3.56	89.12	11.59
76.00	849.43	44.94	3.67	90.13	11.83
77.00	847.05	45.96	3.77	91.14	12.07
78.00	844.64	47.01	3.88	92.15	12.32
79.00	842.21	48.08	3.99	93.15	12.57
80.00	839.76	49.17	4.10	94.14	12.83
81.00	837.29	50.28	4.22	95.13	13.09
82.00	834.79	51.41	4.33	96.11	13.36
83.00	832.27	52.57	4.45	97.08	13.63
84.00	829.73	53.74	4.58	98.05	13.90
85.00	827.16	54.95	4.70	99.02	14.18
86.00	824.56	56.17	4.83	99.98	14.46
87.00	821.94	57.42	4.96	100.93	14.74
88.00	819.30	58.69	5.09	101.88	15.03
89.00	816.62	59.99	5.23	102.83	15.33
90.00	813.92	61.31	5.37	103.76	15.63
91.00	811.20	62.66	5.51	104.70	15.93
92.00	808.45	64.04	5.66	105.62	16.24
93.00	805.67	65.44	5.81	106.54	16.55
94.00	802.86	66.86	5.96	107.46	16.87
95.00	800.02	68.31	6.11	108.37	17.19
96.00	797.15	69.79	6.27	109.27	17.51
97.00	794.26	71.30	6.43	110.17	17.84
98.00	791.33	72.84	6.60	111.06	18.17
99.00	788.38	74.40	6.77	111.95	18.51
100.00	785.39	75.99	6.94	112.83	18.85
101.00	782.38	77.61	7.12	113.70	19.20
102.00	779.33	79.26	7.30	114.57	19.55
103.00	776.26	80.93	7.48	115.43	19.90
104.00	773.15	82.64	7.67	116.28	20.26
105.00	770.01	84.38	7.86	117.13	20.62
106.00	766.84	86.14	8.05	117.98	20.99
107.00	763.63	87.94	8.25	118.82	21.36
108.00	760.39	89.77	8.46	119.65	21.73
109.00	757.12	91.63	8.66	120.47	22.11
110.00	753.82	93.52	8.88	121.29	22.49
111.00	750.48	95.44	9.09	122.10	22.88
112.00	747.11	97.39	9.31	122.91	23.27
113.00	743.71	99.38	9.54	123.71	23.66
114.00	740.27	101.40	9.77	124.50	24.06
115.00	736.80	103.45	10.00	125.29	24.46
116.00	733.29	105.53	10.24	126.07	24.86
117.00	729.75	107.65	10.48	126.85	25.27
118.00	726.18	109.80	10.73	127.62	25.68
119.00	722.57	111.98	10.98	128.38	26.09
120.00	718.92	114.20	11.24	129.13	26.51
121.00	715.24	116.45	11.50	129.88	26.92
122.00	711.52	118.74	11.77	130.62	27.34
123.00	707.77	121.06	12.05	131.36	27.77
124.00	703.99	123.41	12.32	132.08	28.19
125.00	700.17	125.80	12.61	132.81	28.62
126.00	696.31	128.22	12.90	133.52	29.05
127.00	692.42	130.67	13.19	134.23	29.48
128.00	688.50	133.16	13.49	134.93	29.92
129.00	684.54	135.69	13.80	135.62	30.35
130.00	680.54	138.25	14.11	136.31	30.79
131.00	676.51	140.85	14.43	136.99	31.22
132.00	672.45	143.47	14.75	137.66	31.66
133.00	668.35	146.14	15.08	138.33	32.10
134.00	664.22	148.84	15.42	138.99	32.54
135.00	660.05	151.57	15.76	139.64	32.98
136.00	655.85	154.34	16.10	140.29	33.42
137.00	651.62	157.14	16.46	140.92	33.86
138.00	647.35	159.98	16.82	141.55	34.30
139.00	643.05	162.85	17.18	142.18	34.74
140.00	638.72	165.75	17.56	142.79	35.18
141.00	634.35	168.69	17.94	143.40	35.62
142.00	629.96	171.66	18.32	144.00	36.06
143.00	625.53	174.67	18.71	144.60	36.49
144.00	621.08	177.70	19.11	145.18	36.92
145.00	616.59	180.77	19.52	145.76	37.36
146.00	612.07	183.88	19.93	146.33	37.78
147.00	607.53	187.01	20.35	146.90	38.21
148.00	602.95	190.18	20.78	147.46	38.64
149.00	598.35	193.38	21.21	148.00	39.06
150.00	593.72	196.60	21.65	148.55	39.47
151.00	589.07	199.86	22.10	149.08	39.89
152.00	584.39	203.15	22.56	149.61	40.30
153.00	579.68	206.47	23.02	150.13	40.70
154.00	574.95	209.82	23.49	150.64	41.10
155.00	570.20	213.20	23.97	151.14	41.50
156.00	565.42	216.60	24.45	151.64	41.89
157.00	560.62	220.03	24.95	152.12	42.28
158.00	555.80	223.49	25.45	152.61	42.66
159.00	550.96	226.97	25.95	153.08	43.03
160.00	546.11	230.48	26.47	153.54	43.40
161.00	541.23	234.01	26.99	154.00	43.76
162.00	536.34	237.57	27.52	154.45	44.12
163.00	531.43	241.15	28.06	154.89	44.46
164.00	526.51	244.75	28.61	155.33	44.80
165.00	521.57	248.38	29.16	155.75	45.14
166.00	516.62	252.02	29.73	156.17	45.46
167.00	511.65	255.69	30.30	156.58	45.78
168.00	506.68	259.37	30.88	156.99	46.09
169.00	501.70	263.07	31.46	157.38	46.39
170.00	496.71	266.79	32.06	157.77	46.68
171.00	491.71	270.52	32.66	158.15	46.96
172.00	486.71	274.27	33.27	158.52	47.23
173.00	481.70	278.03	33.89	158.89	47.49
174.00	476.68	281.81	34.52	159.24	47.75
175.00	471.67	285.60	35.15	159.59	47.99
176.00	466.65	289.40	35.80	159.93	48.22
177.00	461.64	293.21	36.45	160.27	48.44
178.00	456.63	297.02	37.11	160.59	48.65
179.00	451.61	300.85	37.78	160.91	48.85
180.00	446.61	304.68	38.45	161.22	49.04
181.00	441.60	308.52	39.14	161.52	49.21
182.00	436.61	312.36	39.83	161.82	49.38
183.00	431.62	316.21	40.53	162.11	49.53
184.00	426.64	320.05	41.24	162.39	49.68
185.00	421.67	323.90	41.96	162.66	49.81
186.00	416.72	327.75	42.69	162.92	49.93
187.00	411.78	331.59	43.42	163.18	50.03
188.00	406.85	335.44	44.16	163.43	50.13
189.00	401.93	339.27	44.91	163.67	50.21
190.00	397.04	343.11	45.67	163.91	50.28
191.00	392.16	346.93	46.44	164.14	50.34
192.00	387.30	350.75	47.21	164.36	50.38
193.00	382.46	354.56	47.99	164.57	50.41
194.00	377.64	358.36	48.78	164.78	50.43
195.00	372.85	362.15	49.58	164.98	50.44
196.00	368.07	365.93	50.39	165.17	50.44
197.00	363.33	369.69	51.20	165.35	50.42
198.00	358.61	373.44	52.02	165.53	50.39
199.00	353.92	377.17	52.85	165.70	50.35
200.00	349.25	380.89	53.69	165.87	50.30
201.00	344.62	384.59	54.54	166.02	50.23
202.00	340.02	388.26	55.39	166.17	50.16
203.00	335.45	391.92	56.25	166.32	50.07
204.00	330.91	395.55	57.12	166.45	49.97
205.00	326.40	399.17	57.99	166.59	49.85
206.00	321.93	402.75	58.87	166.71	49.73
207.00	317.50	406.32	59.76	166.83	49.60
208.00	313.10	409.86	60.66	166.94	49.45
209.00	308.74	413.37	61.56	167.04	49.29
210.00	304.41	416.85	62.47	167.14	49.13
211.00	300.13	420.30	63.39	167.23	48.95
212.00	295.88	423.73	64.31	167.32	48.76
213.00	291.68	427.12	65.24	167.40	48.56
214.00	287.51	430.48	66.18	167.47	48.35
215.00	283.39	433.81	67.12	167.54	48.14
216.00	279.31	437.10	68.07	167.60	47.91
217.00	275.27	440.37	69.03	167.66	47.67
218.00	271.28	443.59	69.99	167.71	47.43
219.00	267.33	446.78	70.96	167.75	47.17
220.00	263.42	449.94	71.94	167.79	46.91
221.00	259.56	453.05	72.92	167.82	46.64
222.00	255.75	456.13	73.91	167.85	46.36
223.00	251.98	459.17	74.90	167.87	46.08
224.00	248.25	462.17	75.90	167.89	45.79
225.00	244.58	465.13	76.90	167.90	45.49
226.00	240.95	468.05	77.91	167.91	45.18
227.00	237.36	470.93	78.92	167.91	44.87
228.00	233.83	473.77	79.94	167.91	44.55
229.00	230.34	476.57	80.97	167.90	44.23
230.00	226.89	479.32	82.00	167.88	43.90
231.00	223.50	482.04	83.03	167.87	43.57
232.00	220.15	484.71	84.07	167.84	43.23
233.00	216.85	487.33	85.11	167.82	42.88
234.00	213.60	489.92	86.16	167.78	42.54
235.00	210.40	492.45	87.21	167.75	42.19
236.00	207.24	494.95	88.27	167.71	41.83
237.00	204.13	497.40	89.33	167.66	41.47
238.00	201.07	499.81	90.40	167.61	41.11
239.00	198.06	502.17	91.47	167.56	40.75
240.00	195.09	504.49	92.54	167.50	40.38
241.00	192.17	506.76	93.61	167.44	40.01
242.00	189.30	508.99	94.69	167.37	39.64
243.00	186.48	511.17	95.78	167.30	39.27
244.00	183.70	513.31	96.86	167.23	38.90
245.00	180.97	515.40	97.95	167.15	38.53
246.00	178.28	517.45	99.05	167.07	38.15
247.00	175.64	519.45	100.14	166.99	37.78
248.00	173.05	521.41	101.24	166.90	37.40
249.00	170.50	523.33	102.34	166.81	37.02
250.00	168.00	525.20	103.44	166.71	36.65
251.00	165.54	527.03	104.55	166.61	36.27
252.00	163.12	528.81	105.66	166.51	35.90
253.00	160.75	530.55	106.77	166.41	35.52
254.00	158.42	532.24	107.88	166.30	35.15
255.00	156.14	533.90	109.00	166.19	34.78
256.00	153.90	535.50	110.11	166.07	34.41
257.00	151.70	537.07	111.23	165.96	34.04
258.00	149.54	538.60	112.35	165.84	33.67
259.00	147.42	540.08	113.47	165.72	33.31
260.00	145.34	541.52	114.60	165.59	32.95
261.00	143.31	542.92	115.72	165.46	32.59
262.00	141.31	544.28	116.85	165.33	32.23
263.00	139.36	545.59	117.98	165.20	31.87
264.00	137.44	546.87	119.10	165.06	31.52
265.00	135.56	548.11	120.23	164.93	31.17
266.00	133.72	549.31	121.36	164.79	30.82
267.00	131.91	550.47	122.49	164.64	30.48
268.00	130.15	551.59	123.62	164.50	30.14
269.00	128.42	552.67	124.76	164.35	29.80
270.00	126.72	553.72	125.89	164.20	29.47
271.00	125.06	554.73	127.02	164.05	29.14
272.00	123.44	555.70	128.15	163.90	28.81
273.00	121.85	556.64	129.29	163.75	28.48
274.00	120.29	557.54	130.42	163.59	28.16
275.00	118.77	558.40	131.55	163.43	27.85
276.00	117.28	559.23	132.68	163.27	27.54
277.00	115.82	560.03	133.82	163.11	27.23
278.00	114.39	560.79	134.95	162.94	26.92
279.00	113.00	561.52	136.08	162.78	26.62
280.00	111.63	562.22	137.21	162.61	26.33
281.00	110.30	562.88	138.34	162.44	26.03
282.00	109.00	563.51	139.48	162.27	25.74
283.00	107.72	564.12	140.61	162.10	25.46
284.00	106.47	564.69	141.73	161.92	25.18
285.00	105.26	565.23	142.86	161.75	24.90
286.00	104.06	565.74	143.99	161.57	24.63
287.00	102.90	566.22	145.12	161.40	24.36
288.00	101.76	566.68	146.24	161.22	24.10
289.00	100.65	567.11	147.37	161.04	23.84
290.00	99.57	567.50	148.49	160.86	23.58
291.00	98.51	567.88	149.61	160.67	23.33
292.00	97.47	568.22	150.73	160.49	23.08
293.00	96.46	568.54	151.85	160.31	22.84
294.00	95.48	568.84	152.97	160.12	22.60
295.00	94.51	569.10	154.08	159.93	22.37
296.00	93.57	569.35	155.20	159.75	22.13
297.00	92.65	569.57	156.31	159.56	21.91
298.00	91.76	569.77	157.42	159.37	21.68
299.00	90.88	569.94	158.53	159.18	21.46
300.00	90.03	570.09	159.64	158.99	21.25
301.00	89.20	570.22	160.75	158.80	21.04
302.00	88.39	570.33	161.85	158.60	20.83
303.00	87.59	570.42	162.95	158.41	20.63
304.00	86.82	570.48	164.05	158.22	20.43
305.00	86.07	570.53	165.15	158.02	20.23
306.00	85.33	570.56	166.25	157.82	20.04
307.00	84.62	570.56	167.34	157.63	19.85
308.00	83.92	570.55	168.43	157.43	19.67
309.00	83.24	570.52	169.52	157.23	19.48
310.00	82.57	570.47	170.61	157.04	19.31
311.00	81.93	570.41	171.69	156.84	19.13
312.00	81.30	570.32	172.78	156.64	18.96
313.00	80.68	570.22	173.86	156.44	18.80
314.00	80.09	570.11	174.93	156.24	18.63
315.00	79.50	569.98	176.01	156.04	18.47
316.00	78.94	569.83	177.08	155.84	18.31
317.00	78.39	569.66	178.15	155.64	18.16
318.00	77.85	569.49	179.22	155.44	18.01
319.00	77.32	569.29	180.29	155.23	17.86
320.00	76.81	569.09	181.35	155.03	17.72
321.00	76.32	568.87	182.41	154.83	17.58
322.00	75.84	568.63	183.47	154.63	17.44
323.00	75.37	568.39	184.52	154.42	17.30
324.00	74.91	568.13	185.57	154.22	17.17
325.00	74.46	567.86	186.62	154.02	17.04
326.00	74.03	567.57	187.67	153.81	16.91
327.00	73.61	567.28	188.71	153.61	16.79
328.00	73.20	566.97	189.75	153.40	16.67
329.00	72.81	566.65	190.79	153.20	16.55
330.00	72.42	566.33	191.83	153.00	16.43
331.00	72.05	565.99	192.86	152.79	16.32
332.00	71.68	565.64	193.89	152.59	16.21
333.00	71.33	565.28	194.91	152.38	16.10
334.00	70.98	564.91	195.94	152.18	15.99
335.00	70.65	564.53	196.96	151.97	15.89
336.00	70.32	564.15	197.98	151.77	15.79
337.00	70.01	563.75	198.99	151.56	15.69
338.00	69.70	563.35	200.00	151.36	15.59
339.00	69.41	562.93	201.01	151.15	15.50
340.00	69.12	562.51	202.01	150.95	15.41
341.00	68.84	562.08	203.02	150.74	15.32
342.00	68.57	561.65	204.02	150.54	15.23
343.00	68.31	561.21	205.01	150.33	15.14
344.00	68.06	560.76	206.01	150.13	15.06
345.00	67.81	560.30	206.99	149.92	14.98
346.00	67.57	559.84	207.98	149.72	14.90
347.00	67.34	559.37	208.97	149.51	14.82
348.00	67.12	558.89	209.95	149.31	14.74
349.00	66.90	558.41	210.92	149.10	14.67
350.00	66.69	557.92	211.90	148.90	14.59
351.00	66.49	557.43	212.87	148.69	14.52
352.00	66.30	556.93	213.84	148.49	14.45
353.00	66.11	556.42	214.80	148.28	14.38
354.00	65.93	555.91	215.76	148.08	14.32
355.00	65.75	555.40	216.72	147.88	14.25
356.00	65.58	554.88	217.68	147.67	14.19
357.00	65.42	554.36	218.63	147.47	14.13
358.00	65.26	553.83	219.58	147.27	14.07
359.00	65.11	553.30	220.52	147.06	14.01
360.00	64.96	552.76	221.46	146.86	13.95
361.00	64.82	552.23	222.40	146.66	13.90
362.00	64.68	551.68	223.34	146.45	13.84
363.00	64.55	551.14	224.27	146.25	13.79
364.00	64.42	550.59	225.20	146.05	13.74
365.00	64.30	550.03	226.13	145.85	13.69
366.00	64.19	549.48	227.05	145.65	13.64
367.00	64.08	548.92	227.97	145.44	13.59
368.00	63.97	548.36	228.89	145.24	13.54
369.00	63.87	547.79	229.80	145.04	13.50
370.00	63.77	547.22	230.71	144.84	13.45
371.00	63.68	546.65	231.61	144.64	13.41
372.00	63.59	546.08	232.52	144.44	13.37
373.00	63.51	545.51	233.42	144.24	13.33
374.00	63.42	544.93	234.32	144.04	13.29
375.00	63.35	544.35	235.21	143.84	13.25
376.00	63.27	543.77	236.10	143.64	13.21
377.00	63.21	543.19	236.99	143.45	13.17
378.00	63.14	542.61	237.87	143.25	13.14
379.00	63.08	542.02	238.75	143.05	13.10
380.00	63.02	541.43	239.63	142.85	13.07
381.00	62.96	540.85	240.50	142.65	13.03
382.00	62.91	540.26	241.37	142.46	13.00
383.00	62.86	539.66	242.24	142.26	12.97
384.00	62.82	539.07	243.11	142.06	12.94
385.00	62.78	538.48	243.97	141.87	12.91
386.00	62.74	537.89	244.83	141.67	12.88
387.00	62.70	537.29	245.68	141.48	12.85
388.00	62.67	536.70	246.53	141.28	12.82
389.00	62.64	536.10	247.38	141.09	12.80
390.00	62.61	535.50	248.23	140.89	12.77
391.00	62.58	534.91	249.07	140.70	12.74
392.00	62.56	534.31	249.91	140.50	12.72
393.00	62.54	533.71	250.75	140.31	12.69
394.00	62.52	533.11	251.58	140.12	12.67
395.00	62.51	532.51	252.41	139.92	12.65
396.00	62.50	531.91	253.23	139.73	12.62
397.00	62.49	531.31	254.06	139.54	12.60
398.00	62.48	530.71	254.88	139.35	12.58
399.00	62.47	530.12	255.69	139.16	12.56
400.00	62.47	529.52	256.51	138.97	12.54
401.00	62.47	528.92	257.32	138.78	12.52
402.00	62.47	528.32	258.13	138.59	12.50
403.00	62.47	527.72	258.93	138.40	12.48
404.00	62.48	527.12	259.73	138.21	12.47
405.00	62.48	526.52	260.53	138.02	12.45
406.00	62.49	525.92	261.33	137.83	12.43
407.00	62.50	525.33	262.12	137.64	12.41
408.00	62.51	524.73	262.91	137.45	12.40
409.00	62.53	524.13	263.69	137.27	12.38
410.00	62.54	523.54	264.48	137.08	12.37
411.00	62.56	522.94	265.26	136.89	12.35
412.00	62.58	522.35	266.03	136.71	12.34
413.00	62.60	521.75	266.81	136.52	12.32
414.00	62.62	521.16	267.58	136.33	12.31
415.00	62.64	520.56	268.35	136.15	12.30
416.00	62.67	519.97	269.11	135.96	12.29
417.00	62.69	519.38	269.87	135.78	12.27
418.00	62.72	518.79	270.63	135.60	12.26
419.00	62.75	518.20	271.39	135.41	12.25
420.00	62.78	517.61	272.14	135.23	12.24
421.00	62.81	517.02	272.89	135.05	12.23
422.00	62.85	516.44	273.64	134.87	12.22
423.00	62.88	515.85	274.38	134.68	12.21
424.00	62.91	515.27	275.12	134.50	12.20
425.00	62.95	514.68	275.86	134.32	12.19
426.00	62.99	514.10	276.59	134.14	12.18
427.00	63.03	513.52	277.33	133.96	12.17
428.00	63.07	512.94	278.05	133.78	12.16
429.00	63.11	512.36	278.78	133.60	12.15
430.00	63.15	511.78	279.50	133.42	12.14
431.00	63.19	511.20	280.22	133.24	12.13
432.00	63.24	510.63	280.94	133.07	12.13
433.00	63.28	510.05	281.66	132.89	12.12
434.00	63.33	509.48	282.37	132.71	12.11
435.00	63.37	508.91	283.08	132.54	12.11
436.00	63.42	508.34	283.78	132.36	12.10
437.00	63.47	507.77	284.49	132.18	12.09
438.00	63.52	507.20	285.19	132.01	12.09
439.00	63.57	506.63	285.89	131.83	12.08
440.00	63.62	506.07	286.58	131.66	12.07
441.00	63.67	505.50	287.27	131.48	12.07
442.00	63.73	504.94	287.96	131.31	12.06
443.00	63.78	504.38	288.65	131.14	12.06
444.00	63.83	503.82	289.33	130.96	12.05
445.00	63.89	503.26	290.01	130.79	12.05
446.00	63.94	502.71	290.69	130.62	12.04
447.00	64.00	502.15	291.37	130.45	12.04
448.00	64.06	501.60	292.04	130.28	12.03
449.00	64.11	501.04	292.71	130.10	12.03
450.00	64.17	500.49	293.38	129.93	12.03
451.00	64.23	499.94	294.04	129.76	12.02
452.00	64.29	499.40	294.70	129.59	12.02
453.00	64.35	498.85	295.36	129.43	12.01
454.00	64.41	498.31	296.02	129.26	12.01
455.00	64.47	497.76	296.67	129.09	12.01
456.00	64.53	497.22	297.32	128.92	12.01
457.00	64.59	496.68	297.97	128.75	12.00
458.00	64.65	496.14	298.62	128.59	12.00
459.00	64.72	495.61	299.26	128.42	12.00
460.00	64.78	495.07	299.90	128.25	11.99
461.00	64.84	494.54	300.54	128.09	11.99
462.00	64.91	494.01	301.17	127.92	11.99
463.00	64.97	493.48	301.81	127.76	11.99
464.00	65.04	492.95	302.44	127.59	11.99
465.00	65.10	492.42	303.06	127.43	11.98
466.00	65.17	491.90	303.69	127.26	11.98
467.00	65.23	491.37	304.31	127.10	11.98
468.00	65.30	490.85	304.93	126.94	11.98
469.00	65.37	490.33	305.55	126.78	11.98
470.00	65.43	489.81	306.16	126.61	11.98
471.00	65.50	489.30	306.77	126.45	11.97
472.00	65.57	488.78	307.38	126.29	11.97
473.00	65.64	488.27	307.99	126.13	11.97
474.00	65.71	487.76	308.60	125.97	11.97
475.00	65.77	487.25	309.20	125.81	11.97
476.00	65.84	486.74	309.80	125.65	11.97
477.00	65.91	486.23	310.40	125.49	11.97
478.00	65.98	485.73	310.99	125.33	11.97
479.00	66.05	485.22	311.58	125.17	11.97
480.00	66.12	484.72	312.17	125.02	11.97
481.00	66.19	484.22	312.76	124.86	11.97
482.00	66.26	483.72	313.34	124.70	11.97
483.00	66.33	483.23	313.93	124.54	11.97
484.00	66.40	482.73	314.51	124.39	11.97
485.00	66.48	482.24	315.09	124.23	11.97
486.00	66.55	481.75	315.66	124.08	11.97
487.00	66.62	481.26	316.23	123.92	11.97
488.00	66.69	480.77	316.80	123.77	11.97
489.00	66.76	480.29	317.37	123.61	11.97
490.00	66.83	479.80	317.94	123.46	11.97
491.00	66.91	479.32	318.50	123.31	11.97
492.00	66.98	478.84	319.06	123.15	11.97
493.00	67.05	478.36	319.62	123.00	11.97
494.00	67.12	477.88	320.18	122.85	11.97
495.00	67.20	477.41	320.73	122.70	11.97
496.00	67.27	476.93	321.29	122.55	11.97
497.00	67.34	476.46	321.84	122.40	11.97
498.00	67.41	475.99	322.38	122.24	11.97
499.00	67.49	475.52	322.93	122.09	11.97
500.00	67.56	475.05	323.47	121.94	11.97
501.00	67.63	474.59	324.01	121.80	11.97
502.00	67.71	474.12	324.55	121.65	11.97
503.00	67.78	473.66	325.09	121.50	11.97
504.00	67.85	473.20	325.62	121.35	11.98
505.00	67.93	472.74	326.15	121.20	11.98
506.00	68.00	472.28	326.68	121.05	11.98
507.00	68.08	471.83	327.21	120.91	11.98
508.00	68.15	471.38	327.73	120.76	11.98
509.00	68.22	470.92	328.26	120.62	11.98
510.00	68.30	470.47	328.78	120.47	11.98
511.00	68.37	470.03	329.30	120.32	11.98
512.00	68.45	469.58	329.81	120.18	11.98
513.00	68.52	469.13	330.33	120.03	11.99
514.00	68.59	468.69	330.84	119.89	11.99
515.00	68.67	468.25	331.35	119.75	11.99
516.00	68.74	467.81	331.86	119.60	11.99
517.00	68.82	467.37	332.36	119.46	11.99
518.00	68.89	466.93	332.87	119.32	11.99
519.00	68.96	466.50	333.37	119.18	11.99
520.00	69.04	466.06	333.87	119.03	12.00
521.00	69.11	465.63	334.37	118.89	12.00
522.00	69.19	465.20	334.86	118.75	12.00
523.00	69.26	464.77	335.35	118.61	12.00
524.00	69.33	464.35	335.85	118.47	12.00
525.00	69.41	463.92	336.33	118.33	12.00
526.00	69.48	463.50	336.82	118.19	12.00
527.00	69.56	463.08	337.31	118.05	12.01
528.00	69.63	462.66	337.79	117.91	12.01
529.00	69.71	462.24	338.27	117.78	12.01
530.00	69.78	461.82	338.75	117.64	12.01
531.00	69.85	461.41	339.23	117.50	12.01
532.00	69.93	460.99	339.70	117.36	12.01
533.00	70.00	460.58	340.18	117.23	12.02
534.00	70.08	460.17	340.65	117.09	12.02
535.00	70.15	459.76	341.12	116.95	12.02
536.00	70.22	459.35	341.58	116.82	12.02
537.00	70.30	458.95	342.05	116.68	12.02
538.00	70.37	458.55	342.51	116.55	12.03
539.00	70.44	458.14	342.97	116.41	12.03
540.00	70.52	457.74	343.43	116.28	12.03
541.00	70.59	457.34	343.89	116.14	12.03
542.00	70.67	456.95	344.34	116.01	12.03
543.00	70.74	456.55	344.80	115.88	12.04
544.00	70.81	456.15	345.25	115.75	12.04
545.00	70.89	455.76	345.70	115.61	12.04
546.00	70.96	455.37	346.15	115.48	12.04
547.00	71.03	454.98	346.59	115.35	12.04
548.00	71.10	454.59	347.04	115.22	12.05
549.00	71.18	454.21	347.48	115.09	12.05
550.00	71.25	453.82	347.92	114.96	12.05
551.00	71.32	453.44	348.36	114.83	12.05
552.00	71.40	453.06	348.80	114.70	12.05
553.00	71.47	452.68	349.23	114.57	12.06
554.00	71.54	452.30	349.67	114.44	12.06
555.00	71.61	451.92	350.10	114.31	12.06
556.00	71.69	451.54	350.53	114.18	12.06
557.00	71.76	451.17	350.95	114.05	12.06
558.00	71.83	450.80	351.38	113.93	12.07
559.00	71.90	450.43	351.80	113.80	12.07
560.00	71.98	450.06	352.23	113.67	12.07
561.00	72.05	449.69	352.65	113.54	12.07
562.00	72.12	449.32	353.07	113.42	12.07
563.00	72.19	448.96	353.48	113.29	12.08
564.00	72.26	448.59	353.90	113.17	12.08
565.00	72.33	448.23	354.31	113.04	12.08
566.00	72.41	447.87	354.72	112.92	12.08
567.00	72.48	447.51	355.14	112.79	12.08
568.00	72.55	447.15	355.54	112.67	12.09
569.00	72.62	446.80	355.95	112.54	12.09
570.00	72.69	446.44	356.36	112.42	12.09
571.00	72.76	446.09	356.76	112.30	12.09
572.00	72.83	445.74	357.16	112.18	12.10
573.00	72.90	445.39	357.56	112.05	12.10
574.00	72.97	445.04	357.96	111.93	12.10
575.00	73.04	444.69	358.36	111.81	12.10
576.00	73.11	444.34	358.75	111.69	12.10
577.00	73.18	444.00	359.14	111.57	12.11
578.00	73.25	443.65	359.54	111.45	12.11
579.00	73.32	443.31	359.93	111.33	12.11
580.00	73.39	442.97	360.31	111.21	12.11
581.00	73.46	442.63	360.70	111.09	12.12
582.00	73.53	442.30	361.09	110.97	12.12
